Customer_ID,Age,Gender,Location,Subscription_Type,Account_Age_Months,Monthly_Spending,Total_Usage_Hours,Support_Calls,Late_Payments,Streaming_Usage,Discount_Used,Satisfaction_Score,Last_Interaction_Type,Complaint_Tickets,Promo_Opted_In,Churn
1166,56,Female,Illinois,Premium,32,195.52,432,4,2,97,56,9,Negative,0,1,0
2290,47,Female,Illinois,Premium,16,107.22,71,7,3,70,11,7,Positive,1,0,1
5238,21,Male,Illinois,Premium,30,190.68,270,8,2,4,23,10,Negative,1,1,1
3367,43,Male,New York,Basic,19,20.95,310,9,1,67,94,8,Negative,0,1,1
7207,67,Female,Texas,Premium,4,106.24,463,6,2,19,91,10,Negative,1,0,1
3819,61,Female,Illinois,Premium,57,54.16,404,1,2,68,1,6,Neutral,0,1,1
7723,18,Female,Florida,Premium,11,198.64,484,6,1,82,4,8,Neutral,3,1,1
5568,60,Female,New York,Enterprise,49,49.85,131,7,3,88,13,4,Negative,1,0,1
3492,31,Male,New York,Premium,16,28.57,134,6,1,58,46,10,Positive,3,0,0
6440,64,Female,Florida,Enterprise,57,155.55,259,7,3,46,18,7,Positive,0,0,0
5611,63,Female,Florida,Premium,21,118.46,70,3,3,7,76,4,Neutral,0,1,0
3358,41,Female,Florida,Premium,13,40.38,450,0,0,71,26,7,Neutral,0,1,1
4478,54,Female,Florida,Basic,27,169.38,163,9,2,5,59,6,Positive,1,0,0
3449,62,Male,Illinois,Enterprise,30,127.95,120,5,3,4,13,1,Positive,3,1,1
8333,18,Female,Illinois,Basic,26,27.16,363,4,0,69,33,8,Negative,4,0,0
4971,23,Male,California,Basic,7,81.34,298,1,0,9,98,2,Negative,1,1,1
1254,62,Male,Florida,Premium,50,161.65,266,9,0,98,28,8,Positive,3,0,1
1595,42,Male,Florida,Basic,3,26.95,315,6,4,48,64,8,Neutral,1,0,0
3209,61,Female,Florida,Basic,54,150.71,371,1,0,30,21,3,Positive,0,1,1
4818,63,Female,New York,Basic,13,108.01,299,8,1,24,89,10,Negative,0,1,1
4227,36,Female,Texas,Premium,40,15.04,396,5,1,83,17,10,Neutral,2,0,1
2402,69,Female,Texas,Basic,25,73.52,171,3,3,72,99,6,Neutral,3,1,0
2825,38,Female,Florida,Premium,58,32.13,415,7,1,43,39,4,Positive,2,1,1
3340,30,Male,California,Premium,12,140.69,218,1,2,38,69,3,Neutral,3,1,0
7838,51,Male,Illinois,Premium,21,19.72,90,0,0,26,21,5,Positive,1,1,0
5244,59,Male,California,Premium,53,186.43,169,8,3,3,65,7,Negative,3,1,1
2016,26,Female,Illinois,Premium,32,57.06,241,9,3,20,41,3,Positive,4,1,0
2079,53,Male,Florida,Basic,49,17.34,68,6,0,46,75,5,Negative,4,1,0
8776,43,Female,New York,Premium,43,167.68,406,6,4,79,40,4,Neutral,2,1,0
8306,67,Female,Florida,Premium,26,91.86,355,6,1,45,46,1,Neutral,0,1,0
5147,50,Female,New York,Basic,9,137.27,35,2,0,79,4,2,Negative,3,1,1
2287,53,Female,New York,Basic,22,32.36,38,5,4,61,53,6,Positive,1,0,1
4659,67,Male,Texas,Premium,14,25.59,79,4,0,70,97,8,Positive,3,1,0
3532,23,Male,California,Premium,55,92.89,434,5,1,12,91,10,Positive,4,1,1
7099,19,Male,New York,Basic,3,44.72,385,2,2,71,61,7,Positive,3,0,1
5368,32,Female,Florida,Premium,31,116.85,88,0,0,5,3,6,Positive,4,0,0
3921,33,Male,Illinois,Premium,47,36.9,294,9,4,38,68,5,Negative,1,0,1
5054,68,Male,California,Premium,4,192.64,307,5,3,4,89,5,Positive,2,0,0
8971,23,Male,New York,Basic,35,31.45,432,8,1,69,78,4,Negative,1,1,1
3453,65,Male,Illinois,Basic,20,175.17,331,0,1,93,13,10,Negative,4,0,0
8044,48,Male,Florida,Premium,24,195.14,313,1,0,3,63,3,Positive,1,0,1
2092,50,Male,Florida,Basic,43,98.45,496,0,4,86,74,10,Negative,2,0,0
3622,69,Female,Illinois,Basic,20,22.1,20,5,2,15,25,5,Neutral,0,0,1
